feature,importance
"cat__DOMINANT_PREMISE_MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",2.7908049707262237e-06
cat__DOMINANT_PREMISE_BEAUTY SUPPLY STORE,2.7769908858325962e-06
cat__DOMINANT_PREMISE_GUN/SPORTING GOODS,2.714299182137466e-06
"cat__DOMINANT_CRIME_TYPE_SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2.573066341069014e-06
cat__DOMINANT_CRIME_TYPE_CRIMINAL HOMICIDE,2.355290661790974e-06
cat__DOMINANT_CRIME_TYPE_KIDNAPPING,2.235930141926371e-06
cat__DOMINANT_CRIME_TYPE_CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2.170331406541794e-06
cat__DOMINANT_CRIME_TYPE_RECKLESS DRIVING,2.1436251043408386e-06
cat__DOMINANT_PREMISE_MISSIONS/SHELTERS,2.1146064631193883e-06
cat__DOMINANT_PREMISE_NURSERY/FLOWER SHOP,2.00979880426101e-06
cat__DOMINANT_PREMISE_JEWELRY STORE,1.9227725735437257e-06
cat__DOMINANT_PREMISE_MTA - RED LINE - VERMONT/SUNSET,1.8754106150062227e-06
"cat__DOMINANT_CRIME_TYPE_VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",1.8479397371636929e-06
cat__DOMINANT_PREMISE_POLICE FACILITY,1.802578148202223e-06
cat__DOMINANT_PREMISE_MTA - EXPO LINE - EXPO/CRENSHAW,1.661895624794896e-06
cat__DOMINANT_CRIME_TYPE_STALKING,1.443604408779915e-06
cat__DOMINANT_PREMISE_TRANSIENT ENCAMPMENT,1.4189024038015664e-06
cat__DOMINANT_PREMISE_AUTO SUPPLY STORE*,1.3481950419091969e-06
cat__DOMINANT_PREMISE_HARDWARE/BUILDING SUPPLY,1.3168581713493603e-06
cat__DOMINANT_PREMISE_AUTO SALES LOT,1.2123050617124374e-06
cat__DOMINANT_PREMISE_MTA - GREEN LINE - HARBOR FWY,1.1312257442435343e-06
cat__DOMINANT_PREMISE_SLIPS/DOCK/MARINA/BOAT,1.0208411094976026e-06
cat__DOMINANT_PREMISE_MTA - GREEN LINE - AVIATION/LAX,9.425875426299558e-07
cat__DOMINANT_PREMISE_FREEWAY,9.410608696796221e-07
cat__DOMINANT_CRIME_TYPE_BATTERY ON A FIREFIGHTER,9.239539630416058e-07
cat__DOMINANT_CRIME_TYPE_CHILD STEALING,8.212139816031065e-07
